Fighter;Result;Opponent;Method;Date;Fight Number
Lyoto Machida;def.;Rameau Thierry Sokoudjou;Submission;December 29, 2007;7
Rich Clementi;def.;Melvin Guillard;Submission;December 29, 2007;6
James Irvin;def.;Luiz Cane;Disqualification;December 29, 2007;5
Manvel Gamburyan;def.;Nate Mohr;Submission;December 29, 2007;4
Dean Lister;def.;Jordan Radev;Decision;December 29, 2007;3
Roan Carneiro;def.;Tony DeSouza;TKO;December 29, 2007;2
Mark Bocek;def.;Doug Evans;Decision;December 29, 2007;1
Roger Huerta;def.;Clay Guida;Submission;December 8, 2007;9
Mac Danzig;def.;Tom Speer;Submission;December 8, 2007;8
Jon Koppenhaver;def.;Jared Rollins;TKO;December 8, 2007;7
George Sotiropoulos;def.;Billy Miles;Submission;December 8, 2007;6
Ben Saunders;def.;Dan Barrera;Decision;December 8, 2007;5
Matt Arroyo;def.;John Kolosci;Submission;December 8, 2007;4
Jonathan Goulet;def.;Paul Georgieff;Technical Submission;December 8, 2007;3
Roman Mitichyan;def.;Dorian Price;Submission;December 8, 2007;2
Troy Mandaloniz;def.;Richie Hightower;TKO;December 8, 2007;1
Rashad Evans;def.;Michael Bisping;Decision;November 17, 2007;9
Thiago Silva;def.;Houston Alexander;TKO;November 17, 2007;8
Karo Parisyan;def.;Ryo Chonan;Decision;November 17, 2007;7
Ed Herman;def.;Joe Doerksen;KO;November 17, 2007;6
Frankie Edgar;def.;Spencer Fisher;Decision;November 17, 2007;5
Thiago Alves;def.;Chris Lytle;TKO;November 17, 2007;4
Joe Lauzon;def.;Jason Reinhardt;Submission;November 17, 2007;3
Marcus Aurélio;def.;Luke Caudillo;TKO;November 17, 2007;2
Akihiro Gono;def.;Tamdan McCrory;Submission;November 17, 2007;1
Anderson Silva;def.;Rich Franklin;TKO;October 20, 2007;9
Tim Sylvia;def.;Brandon Vera;Decision;October 20, 2007;8
Alvin Robinson;def.;Jorge Gurgel;Decision;October 20, 2007;7
Stephan Bonnar;def.;Eric Schafer;TKO;October 20, 2007;6
Alan Belcher;def.;Kalib Starnes;TKO;October 20, 2007;5
Yushin Okami;def.;Jason MacDonald;Decision;October 20, 2007;4
Demian Maia;def.;Ryan Jensen;Submission;October 20, 2007;3
Josh Burkman;def.;Forrest Petz;Decision;October 20, 2007;2
Matt Grice;def.;Jason Black;Decision;October 20, 2007;1
Keith Jardine;def.;Chuck Liddell;Decision;September 22, 2007;9
Forrest Griffin;def.;Maurício Rua;Submission;September 22, 2007;8
Jon Fitch;def.;Diego Sanchez;Decision;September 22, 2007;7
Lyoto Machida;def.;Kazuhiro Nakamura;Decision;September 22, 2007;6
Tyson Griffin;def.;Thiago Tavares;Decision;September 22, 2007;5
Rich Clementi;def.;Anthony Johnson;Submission;September 22, 2007;4
Jeremy Stephens;def.;Diego Saraiva;Decision;September 22, 2007;3
Christian Wellisch;def.;Scott Junk;Submission;September 22, 2007;2
Matt Wiman;def.;Michihiro Omigawa;Decision;September 22, 2007;1
Kenny Florian;def.;Din Thomas;Submission;September 19, 2007;9
Chris Leben;def.;Terry Martin;KO;September 19, 2007;8
Nate Diaz;def.;Junior Assuncao;Submission;September 19, 2007;7
Nate Quarry;def.;Pete Sell;KO;September 19, 2007;6
Dustin Hazelett;def.;Jonathan Goulet;Submission;September 19, 2007;5
Thiago Alves;def.;Kuniyoshi Hironaka;TKO;September 19, 2007;4
Cole Miller;def.;Leonard Garcia;Decision;September 19, 2007;3
Luke Cummo;def.;Edilberto de Oliveira;TKO;September 19, 2007;2
Gray Maynard;def.;Joe Veres;KO;September 19, 2007;1
Quinton Jackson;def.;Dan Henderson;Decision;September 8, 2007;9
Michael Bisping;def.;Matt Hamill;Decision;September 8, 2007;8
Cheick Kongo;def.;Mirko Cro Cop;Decision;September 8, 2007;7
Marcus Davis;def.;Paul Taylor;Submission;September 8, 2007;6
Houston Alexander;def.;Alessio Sakara;KO;September 8, 2007;5
Gleison Tibau;def.;Terry Etim;Decision;September 8, 2007;4
Thiago Silva;def.;Tomasz Drwal;TKO;September 8, 2007;3
Dennis Siver;def.;Naoyuki Kotani;KO;September 8, 2007;2
Jess Liaudin;def.;Anthony Torres;TKO;September 8, 2007;1
Randy Couture;def.;Gabriel Gonzaga;TKO;August 25, 2007;9
Georges St-Pierre;def.;Josh Koscheck;Decision;August 25, 2007;8
Roger Huerta;def.;Alberto Crane;TKO;August 25, 2007;7
Joe Stevenson;def.;Kurt Pellegrino;Decision;August 25, 2007;6
Patrick Côté;def.;Kendall Grove;KO;August 25, 2007;5
Renato Sobral;def.;David Heath;Technical submission;August 25, 2007;4
Frank Mir;def.;Antoni Hardonk;Submission;August 25, 2007;3
Thales Leites;def.;Ryan Jensen;Submission;August 25, 2007;2
Clay Guida;def.;Marcus Aurélio;Decision;August 25, 2007;1
Anderson Silva;def.;Nate Marquardt;TKO;July 7, 2007;9
Tito Ortiz;vs.;Rashad Evans;Draw;July 7, 2007;8
Sean Sherk;def.;Hermes França;Decision;July 7, 2007;7
Antônio Rodrigo Nogueira;def.;Heath Herring;Decision;July 7, 2007;6
Kenny Florian;def.;Alvin Robinson;TKO;July 7, 2007;5
Stephan Bonnar;def.;Mike Nickels;Submission;July 7, 2007;4
Jorge Gurgel;def.;Diego Saraiva;Decision;July 7, 2007;3
Chris Lytle;def.;Jason Gilliam;Submission;July 7, 2007;2
Frankie Edgar;def.;Mark Bocek;TKO;July 7, 2007;1
B.J. Penn;def.;Jens Pulver;Submission;June 23, 2007;9
Nate Diaz;def.;Manvel Gamburyan;Submission;June 23, 2007;8
Thales Leites;def.;Floyd Sword;Submission;June 23, 2007;7
Roger Huerta;def.;Doug Evans;TKO;June 23, 2007;6
Joe Lauzon;def.;Brandon Melendez;Submission;June 23, 2007;5
Cole Miller;def.;Andy Wang;TKO;June 23, 2007;4
Gray Maynard;vs.;Rob Emerson;No Contest;June 23, 2007;3
Leonard Garcia;def.;Allen Berube;Submission;June 23, 2007;2
Matt Wiman;def.;Brian Geraghty;TKO;June 23, 2007;1
Rich Franklin;def.;Yushin Okami;Decision;16 June 2007;8
Forrest Griffin;def.;Hector Ramirez;Decision;16 June 2007;7
Jason MacDonald;def.;Rory Singer;TKO;16 June 2007;6
Tyson Griffin;def.;Clay Guida;Decision;16 June 2007;5
Ed Herman;def.;Scott Smith;Submission;16 June 2007;4
Eddie Sanchez;def.;Colin Robinson;TKO;16 June 2007;3
Dustin Hazelett;def.;Steven Lynch;Submission;16 June 2007;2
Marcus Davis;def.;Jason Tan;KO;16 June 2007;1
Spencer Fisher;def.;Sam Stout;Decision;June 12, 2007;9
Thiago Tavares;def.;Jason Black;Submission;June 12, 2007;8
Jon Fitch;def.;Roan Carneiro;Submission;June 12, 2007;7
Drew McFedries;def.;Jordan Radev;KO;June 12, 2007;6
Forrest Petz;def.;Luigi Fioravanti;Decision;June 12, 2007;5
Tamdan McCrory;def.;Pete Spratt;Submission;June 12, 2007;4
Gleison Tibau;def.;Jeff Cox;Submission;June 12, 2007;3
Anthony Johnson;def.;Chad Reiner;KO;June 12, 2007;2
Nate Mohr;def.;Luke Caudillo;Decision;June 12, 2007;1
Quinton Jackson;def.;Chuck Liddell;KO;May 26, 2007;9
Karo Parisyan;def.;Josh Burkman;Decision;May 26, 2007;8
Terry Martin;def.;Ivan Salaverry;TKO;May 26, 2007;7
Houston Alexander;def.;Keith Jardine;KO;May 26, 2007;6
Kalib Starnes;def.;Chris Leben;Decision;May 26, 2007;5
Thiago Silva;def.;James Irvin;Referee Stoppage;May 26, 2007;4
Alan Belcher;def.;Sean Salmon;Submission;May 26, 2007;3
Din Thomas;def.;Jeremy Stephens;Technical Submission;May 26, 2007;2
Wilson Gouveia;def.;Carmelo Marrero;Submission;May 26, 2007;1
Gabriel Gonzaga;def.;Mirko Cro Cop;KO;April 21, 2007;10
Andrei Arlovski;def.;Fabrício Werdum;Decision;April 21, 2007;9
Michael Bisping;def.;Elvis Sinosic;TKO;April 21, 2007;8
Lyoto Machida;def.;David Heath;Decision;April 21, 2007;7
Cheick Kongo;def.;Assuerio Silva;Decision;April 21, 2007;6
Terry Etim;def.;Matt Grice;Submission;April 21, 2007;5
Junior Assuncao;def.;David Lee;Submission;April 21, 2007;4
Alessio Sakara;def.;Victor Valimaki;TKO;April 21, 2007;3
Jess Liaudin;def.;Dennis Siver;Submission;April 21, 2007;2
Paul Taylor;def.;Edilberto de Oliveira;TKO;April 21, 2007;1
Matt Serra;def.;Georges St-Pierre;TKO;April 7, 2007;9
Josh Koscheck;def.;Diego Sanchez;Decision;April 7, 2007;8
Roger Huerta;def.;Leonard Garcia;Decision;April 7, 2007;7
Yushin Okami;def.;Mike Swick;Decision;April 7, 2007;6
Kendall Grove;def.;Alan Belcher;Technical Submission;April 7, 2007;5
Heath Herring;def.;Brad Imes;Decision;April 7, 2007;4
Thales Leites;def.;Pete Sell;Decision;April 7, 2007;3
Marcus Davis;def.;Pete Spratt;Submission;April 7, 2007;2
Luke Cummo;def.;Josh Haynes;TKO;April 7, 2007;1
Randy Couture;def.;Tim Sylvia;Decision;March 3, 2007;9
Martin Kampmann;def.;Drew McFedries;Submission;March 3, 2007;8
Rich Franklin;def.;Jason MacDonald;TKO;March 3, 2007;7
Matt Hughes;def.;Chris Lytle;Decision;March 3, 2007;6
Jason Lambert;def.;Renato Sobral;KO;March 3, 2007;5
Matt Hamill;def.;Rex Holman;TKO;March 3, 2007;4
Jon Fitch;def.;Luigi Fioravanti;Submission;March 3, 2007;3
Gleison Tibau;def.;Jason Dent;Decision;March 3, 2007;2
Jamie Varner;def.;Jason Gilliam;TKO;March 3, 2007;1
Anderson Silva;def.;Travis Lutter;Submission;February 3, 2007;9
Mirko Cro Cop;def.;Eddie Sanchez;TKO;February 3, 2007;8
Quinton Jackson;def.;Marvin Eastman;KO;February 3, 2007;7
Roger Huerta;def.;John Halverson;TKO;February 3, 2007;6
Patrick Côté;def.;Scott Smith;Decision;February 3, 2007;5
Terry Martin;def.;Jorge Rivera;KO;February 3, 2007;4
Frankie Edgar;def.;Tyson Griffin;Decision;February 3, 2007;3
Lyoto Machida;def.;Sam Hoger;Decision;February 3, 2007;2
Dustin Hazelett;def.;Diego Saraiva;Decision;February 3, 2007;1
Rashad Evans;def.;Sean Salmon;KO;January 25, 2007;8
Jake O'Brien;def.;Heath Herring;Decision;January 25, 2007;7
Hermes França;def.;Spencer Fisher;TKO;January 25, 2007;6
Nate Marquardt;def.;Dean Lister;Decision;January 25, 2007;5
Josh Burkman;def.;Chad Reiner;Decision;January 25, 2007;4
Ed Herman;def.;Chris Price;Submission;January 25, 2007;3
Din Thomas;def.;Clay Guida;Decision;January 25, 2007;2
Rich Clementi;def.;Ross Pointon;Submission;January 25, 2007;1
Chuck Liddell;def.;Tito Ortiz;TKO;December 30, 2006;9
Keith Jardine;def.;Forrest Griffin;TKO;December 30, 2006;8
Jason MacDonald;def.;Chris Leben;Submission;December 30, 2006;7
Andrei Arlovski;def.;Marcio Cruz;KO;December 30, 2006;6
Michael Bisping;def.;Eric Schafer;TKO;December 30, 2006;5
Thiago Alves;def.;Tony DeSouza;KO;December 30, 2006;4
Gabriel Gonzaga;def.;Carmelo Marrero;Submission;December 30, 2006;3
Yushin Okami;def.;Rory Singer;Submission;December 30, 2006;2
Christian Wellisch;def.;Anthony Perosh;Decision;December 30, 2006;1
Diego Sanchez;def;Joe Riggs;KO;December 13, 2006;9
Josh Koscheck;def;Jeff Joslin;Decision;December 13, 2006;8
Karo Parisyan;def;Drew Fickett;Decision;December 13, 2006;7
Marcus Davis;def;Shonie Carter;Decision;December 13, 2006;6
Alan Belcher;def;Jorge Santiago;KO;December 13, 2006;5
Luigi Fioravanti;def;Dave Menne;TKO;December 13, 2006;4
David Heath;def;Victor Valimaki;Decision;December 13, 2006;3
Brock Larson;def;Keita Nakamura;Decision;December 13, 2006;2
Logan Clark;def.;Steve Byrnes;Decision;December 13, 2006;1
Georges St-Pierre;def.;Matt Hughes;KO;November 18, 2006;9
Tim Sylvia;def.;Jeff Monson;Decision;November 18, 2006;8
Drew McFedries;def.;Alessio Sakara;TKO;November 18, 2006;7
Brandon Vera;def.;Frank Mir;TKO;November 18, 2006;6
Joe Stevenson;def.;Dokonjonosuke Mishima;Submission;November 18, 2006;5
Nick Diaz;def.;Gleison Tibau;TKO;November 18, 2006;4
Antoni Hardonk;def.;Sherman Pendergarst;KO;November 18, 2006;3
James Irvin;def.;Hector Ramirez;TKO;November 18, 2006;2
Jake O'Brien;def.;Josh Schockman;Decision;November 18, 2006;1
Matt Serra;def.;Chris Lytle;Decision;November 11, 2006;8
Travis Lutter;def.;Patrick Côté;Submission;November 11, 2006;7
Din Thomas;def.;Rich Clementi;Submission;November 11, 2006;6
Jorge Rivera;def.;Edwin Dewees;TKO;November 11, 2006;5
Pete Spratt;def.;Jeremy Jackson;Submission;November 11, 2006;4
Scott Smith;def.;Pete Sell;KO;November 11, 2006;3
Charles McCarthy;def.;Gideon Ray;Submission;November 11, 2006;2
Martin Kampmann;def.;Thales Leites;Decision;November 11, 2006;1
Anderson Silva;def.;Rich Franklin;TKO;October 14, 2006;8
Sean Sherk;def.;Kenny Florian;Decision;October 14, 2006;7
Jon Fitch;def.;Kuniyoshi Hironaka;Decision;October 14, 2006;6
Carmelo Marrero;def.;Cheick Kongo;Decision;October 14, 2006;5
Spencer Fisher;def.;Dan Lauzon;TKO;October 14, 2006;4
Yushin Okami;def.;Kalib Starnes;TKO;October 14, 2006;3
Clay Guida;def.;Justin James;Submission;October 14, 2006;2
Kurt Pellegrino;def.;Júnior Assunção;Submission;October 14, 2006;1
Tito Ortiz;def.;Ken Shamrock;TKO;October 10, 2006;9
Kendall Grove;def.;Chris Price;Submission;October 10, 2006;8
Jason MacDonald;def.;Ed Herman;Submission;October 10, 2006;7
Matt Hamill;def.;Seth Petruzelli;Decision;October 10, 2006;6
Nate Marquardt;def.;Crafton Wallace;Submission;October 10, 2006;5
Tony DeSouza;def.;Dustin Hazelett;Submission;October 10, 2006;4
Rory Singer;def.;Josh Haynes;Decision;October 10, 2006;3
Thiago Alves;def.;John Alessio;Decision;October 10, 2006;2
Marcus Davis;def.;Forrest Petz;Submission;October 10, 2006;1
Matt Hughes;def.;B.J. Penn;TKO;September 23, 2006;9
Mike Swick;def.;David Loiseau;Decision;September 23, 2006;8
Melvin Guillard;def.;Gabe Ruediger;TKO;September 23, 2006;7
Rashad Evans;def.;Jason Lambert;KO;September 23, 2006;6
Joe Lauzon;def.;Jens Pulver;TKO;September 23, 2006;5
Roger Huerta;def.;Jason Dent;Decision;September 23, 2006;4
Eddie Sanchez;def.;Mario Neto;KO;September 23, 2006;3
Jorge Gurgel;def.;Danny Abbadi;Decision;September 23, 2006;2
Tyson Griffin;def.;David Lee;Submission;September 23, 2006;1
Chuck Liddell;def.;Renato Sobral;TKO;August 26, 2006;9
Forrest Griffin;def.;Stephan Bonnar;Decision;August 26, 2006;8
Nick Diaz;def.;Josh Neer;Submission;August 26, 2006;7
Cheick Kongo;def.;Christian Wellisch;KO;August 26, 2006;6
Hermes França;def.;Jamie Varner;Submission;August 26, 2006;5
Eric Schafer;def.;Rob MacDonald;Technical Submission;August 26, 2006;4
Wilson Gouveia;def.;Wes Combs;Submission;August 26, 2006;3
David Heath;def.;Cory Walmsley;Submission;August 26, 2006;2
Yushin Okami;def.;Alan Belcher;Decision;August 26, 2006;1
Diego Sanchez;def.;Karo Parisyan;Decision;August 17, 2006;9
Chris Leben;def.;Jorge Santiago;KO;August 17, 2006;8
Dean Lister;def.;Yuki Sasaki;Decision;August 17, 2006;7
Josh Koscheck;def.;Jonathan Goulet;Submission;August 17, 2006;6
Martin Kampmann;def.;Crafton Wallace;Submission;August 17, 2006;5
Joe Riggs;def.;Jason Von Flue;Submission;August 17, 2006;4
Jake O'Brien;def.;Kristof Midoux;TKO;August 17, 2006;3
Forrest Petz;def.;Sam Morgan;Decision;August 17, 2006;2
Anthony Torres;def.;Pat Healy;Submission;August 17, 2006;1
Tim Sylvia;def.;Andrei Arlovski;Decision;July 8, 2006;9
Josh Burkman;def.;Josh Neer;Decision;July 8, 2006;8
Tito Ortiz;def.;Ken Shamrock;TKO;July 8, 2006;7
Frank Mir;def.;Dan Christison;Decision;July 8, 2006;6
Joe Stevenson;def.;Yves Edwards;TKO;July 8, 2006;5
Hermes França;def.;Joe Jordan;Submission;July 8, 2006;4
Jeff Monson;def.;Anthony Perosh;TKO;July 8, 2006;3
Cheick Kongo;def.;Gilbert Aldana;TKO;July 8, 2006;2
Drew Fickett;def.;Kurt Pellegrino;Submission;July 8, 2006;1
Jonathan Goulet;def.;Luke Cummo;Decision;June 28, 2006;9
Anderson Silva;def.;Chris Leben;KO;June 28, 2006;8
Rob MacDonald;def.;Kristian Rothaermel;Submission;June 28, 2006;7
Rashad Evans;def.;Stephan Bonnar;Decision;June 28, 2006;6
Mark Hominick;def.;Jorge Gurgel;Decision;June 28, 2006;5
Josh Koscheck;def.;Dave Menne;Decision;June 28, 2006;4
Jason Lambert;def.;Branden Lee Hinkle;TKO;June 28, 2006;3
Jon Fitch;def.;Thiago Alves;TKO;June 28, 2006;2
Jorge Santiago;def.;Justin Levens;KO;June 28, 2006;1
Kenny Florian;def.;Sam Stout;Submission;June 24, 2006;9
Michael Bisping;def.;Josh Haynes;TKO;June 24, 2006;8
Kendall Grove;def.;Ed Herman;Decision;June 24, 2006;7
Keith Jardine;def.;Wilson Gouveia;Decision;June 24, 2006;6
Rory Singer;def.;Ross Pointon;Submission;June 24, 2006;5
Kalib Starnes;def.;Danny Abbadi;Submission;June 24, 2006;4
Luigi Fioravanti;def.;Solomon Hutcherson;KO;June 24, 2006;3
Matt Hamill;def.;Jesse Forbes;TKO;June 24, 2006;2
Mike Nickels;def.;Wes Combs;Submission;June 24, 2006;1
Matt Hughes;def.;Royce Gracie;TKO;May 27, 2006;9
Dean Lister;def.;Alessio Sakara;Submission;May 27, 2006;8
Diego Sanchez;def.;John Alessio;Decision;May 27, 2006;7
Brandon Vera;def.;Assuerio Silva;Submission;May 27, 2006;6
Mike Swick;def.;Joe Riggs;Submission;May 27, 2006;5
Jeremy Horn;def.;Chael Sonnen;Submission;May 27, 2006;4
Spencer Fisher;def.;Matt Wiman;KO;May 27, 2006;3
Gabriel Gonzaga;def.;Fabiano Scherner;TKO;May 27, 2006;2
Melvin Guillard;def.;Rick Davis;KO;May 27, 2006;1
Tim Sylvia;def.;Andrei Arlovski;TKO;April 15, 2006;9
Sean Sherk;def.;Nick Diaz;Decision;April 15, 2006;8
Tito Ortiz;def.;Forrest Griffin;Decision;April 15, 2006;7
Evan Tanner;def.;Justin Levens;Submission;April 15, 2006;6
Jeff Monson;def.;Marcio Cruz;Decision;April 15, 2006;5
Karo Parisyan;def.;Nick Thompson;Submission;April 15, 2006;4
David Terrell;def.;Scott Smith;Submission;April 15, 2006;3
Jason Lambert;def.;Terry Martin;TKO;April 15, 2006;2
Thiago Alves;def.;Derrick Noble;TKO;April 15, 2006;1
Stephan Bonnar;def.;Keith Jardine;Decision;April 6, 2006;9
Rashad Evans;def.;Sam Hoger;Decision;April 6, 2006;8
Josh Neer;def.;Joe Stevenson;Decision;April 6, 2006;7
Chris Leben;def.;Luigi Fioravanti;Decision;April 6, 2006;6
Luke Cummo;def.;Jason Von Flue;Decision;April 6, 2006;5
Jon Fitch;def.;Josh Burkman;Submission;April 6, 2006;4
Dan Christison;def.;Brad Imes;Submission;April 6, 2006;3
Josh Koscheck;def.;Ansar Chalangov;Submission;April 6, 2006;2
Chael Sonnen;def.;Trevor Prangley;Decision;April 6, 2006;1
Rich Franklin;def.;David Loiseau;Decision;March 4, 2006;8
Mike Swick;def.;Steve Vigneault;Submission;March 4, 2006;7
Georges St-Pierre;def.;B.J. Penn;Decision;March 4, 2006;6
Nate Marquardt;def.;Joe Doerksen;Decision;March 4, 2006;5
Mark Hominick;def.;Yves Edwards;Submission;March 4, 2006;4
Sam Stout;def.;Spencer Fisher;Decision;March 4, 2006;3
Jason Lambert;def.;Rob MacDonald;Submission;March 4, 2006;2
Tom Murphy;def.;Icho Larenas;TKO;March 4, 2006;1
Chuck Liddell;def.;Randy Couture;KO;February 4, 2006;9
Brandon Vera;def.;Justin Eilers;KO;February 4, 2006;8
Marcio Cruz;def.;Frank Mir;TKO;February 4, 2006;7
Renato Sobral;def.;Mike Van Arsdale;Submission;February 4, 2006;6
Joe Riggs;def.;Nick Diaz;Decision;February 4, 2006;5
Alessio Sakara;def.;Elvis Sinosic;Decision;February 4, 2006;4
Paul Buentello;def.;Gilbert Aldana;TKO;February 4, 2006;3
Jeff Monson;def.;Branden Lee Hinkle;Technical Submission;February 4, 2006;2
Keith Jardine;def.;Mike Whitehead;Decision;February 4, 2006;1
Tim Sylvia;def.;Assuerio Silva;Decision;January 16, 2006;8
Stephan Bonnar;def.;James Irvin;Submission;January 16, 2006;7
Josh Burkman;def.;Drew Fickett;Submission;January 16, 2006;6
Chris Leben;def.;Jorge Rivera;TKO;January 16, 2006;5
Josh Neer;def.;Melvin Guillard;Submission;January 16, 2006;4
Duane Ludwig;def.;Jonathan Goulet;KO;January 16, 2006;3
Spencer Fisher;def.;Aaron Riley;TKO;January 16, 2006;2
Jason Von Flue;def.;Alex Karalexis;Technical Submission;January 16, 2006;1
Rich Franklin;def.;Nate Quarry;KO;November 19, 2005;8
Gabriel Gonzaga;def.;Kevin Jordan;KO;November 19, 2005;7
Matt Hughes;def.;Joe Riggs;Submission;November 19, 2005;6
Georges St-Pierre;def.;Sean Sherk;TKO;November 19, 2005;5
Jeremy Horn;def.;Trevor Prangley;Decision;November 19, 2005;4
Sam Hoger;def.;Jeff Newton;Submission;November 19, 2005;3
Thiago Alves;def.;Ansar Chalangov;TKO;November 19, 2005;2
Nick Thompson;def.;Keith Wisniewski;Decision;November 19, 2005;1
Diego Sanchez;def.;Nick Diaz;Decision;November 5, 2005;7
Rashad Evans;def.;Brad Imes;Decision;November 5, 2005;6
Joe Stevenson;def.;Luke Cummo;Decision;November 5, 2005;5
Kenny Florian;def.;Kit Cope;Submission;November 5, 2005;4
Josh Burkman;def.;Sam Morgan;KO;November 5, 2005;3
Melvin Guillard;def.;Marcus Davis;TKO;November 5, 2005;2
Keith Jardine;def.;Kerry Schall;TKO;November 5, 2005;1
Andrei Arlovski;def.;Paul Buentello;KO;October 7, 2005;8
Branden Lee Hinkle;def.;Sean Gannon;TKO;October 7, 2005;7
Forrest Griffin;def.;Elvis Sinosic;TKO;October 7, 2005;6
Renato Sobral;def.;Chael Sonnen;Submission;October 7, 2005;5
Joe Riggs;def.;Chris Lytle;TKO;October 7, 2005;4
Jorge Rivera;def.;Dennis Hallman;Decision;October 7, 2005;3
Marcio Cruz;def.;Keigo Kunihara;Submission;October 7, 2005;2
Alessio Sakara;vs.;Ron Faircloth;No Contest;October 7, 2005;1
David Loiseau;def.;Evan Tanner;TKO;October 3, 2005;7
Chris Leben;def.;Edwin Dewees;Submission;October 3, 2005;6
Brandon Vera;def.;Fabiano Scherner;TKO;October 3, 2005;5
Drew Fickett;def.;Josh Koscheck;Technical Submission;October 3, 2005;4
Spencer Fisher;def.;Thiago Alves;Submission;October 3, 2005;3
Jon Fitch;def.;Brock Larson;Decision;October 3, 2005;2
Jonathan Goulet;def.;Jay Hieron;TKO;October 3, 2005;1
Chuck Liddell;def.;Jeremy Horn;TKO;August 20, 2005;8
Tim Sylvia;def.;Tra Telligman;KO;August 20, 2005;7
Randy Couture;def.;Mike Van Arsdale;Submission;August 20, 2005;6
Diego Sanchez;def.;Brian Gassaway;Submission;August 20, 2005;5
Georges St-Pierre;def.;Frank Trigg;Submission;August 20, 2005;4
Matt Lindland;def.;Joe Doerksen;Decision;August 20, 2005;3
Trevor Prangley;def.;Travis Lutter;Decision;August 20, 2005;2
James Irvin;def.;Terry Martin;KO;August 20, 2005;1
Andrei Arlovski;def.;Justin Eilers;TKO;June 4, 2005;8
Karo Parisyan;def.;Matt Serra;Decision;June 4, 2005;7
Rich Franklin;def.;Evan Tanner;TKO;June 4, 2005;6
Forrest Griffin;def.;Bill Mahood;Submission;June 4, 2005;5
Paul Buentello;def.;Kevin Jordan;Submission;June 4, 2005;4
Nate Quarry;def.;Shonie Carter;TKO;June 4, 2005;3
David Loiseau;def.;Charles McCarthy;TKO;June 4, 2005;2
Nick Diaz;def.;Koji Oishi;KO;June 4, 2005;1
Chuck Liddell;def.;Randy Couture;KO;April 16, 2005;8
Renato Sobral;def.;Travis Wiuff;Submission;April 16, 2005;7
Matt Hughes;def.;Frank Trigg;Submission;April 16, 2005;6
Matt Lindland;def.;Travis Lutter;Submission;April 16, 2005;5
Georges St-Pierre;def.;Jason Miller;Decision;April 16, 2005;4
Ivan Salaverry;def.;Joe Riggs;Submission;April 16, 2005;3
Joe Doerksen;def.;Patrick Côté;Submission;April 16, 2005;2
Mike Van Arsdale;def.;John Marsh;Decision;April 16, 2005;1
Rich Franklin;def.;Ken Shamrock;TKO;April 9, 2005;9
Forrest Griffin;def.;Stephan Bonnar;Decision;April 9, 2005;8
Diego Sanchez;def.;Kenny Florian;TKO;April 9, 2005;7
Sam Hoger;def.;Bobby Southworth;Decision;April 9, 2005;6
Chris Leben;def.;Jason Thacker;TKO;April 9, 2005;5
Josh Koscheck;def.;Chris Sanford;KO;April 9, 2005;4
Nate Quarry;def.;Lodune Sincaid;TKO;April 9, 2005;3
Mike Swick;def.;Alex Schoenauer;KO;April 9, 2005;2
Alex Karalexis;def.;Josh Rafferty;TKO;April 9, 2005;1
Tito Ortiz;def.;Vitor Belfort;Decision;February 5, 2005;9
Pete Sell;def.;Phil Baroni;Submission;February 5, 2005;8
Andrei Arlovski;def.;Tim Sylvia;Submission;February 5, 2005;7
Evan Tanner;def.;David Terrell;TKO;February 5, 2005;6
Paul Buentello;def.;Justin Eilers;KO;February 5, 2005;5
Mike Kyle;def.;James Irvin;KO;February 5, 2005;4
David Loiseau;def.;Gideon Ray;TKO;February 5, 2005;3
Karo Parisyan;def.;Chris Lytle;Decision;February 5, 2005;2
Nick Diaz;def.;Drew Fickett;TKO;February 5, 2005;1
Tito Ortiz;def.;Patrick Côté;Decision;October 22, 2004;7
Rich Franklin;def.;Jorge Rivera;Submission;October 22, 2004;6
Matt Hughes;def.;Georges St-Pierre;Submission;October 22, 2004;5
Frank Trigg;def.;Renato Verissimo;TKO;October 22, 2004;4
Evan Tanner;def.;Robbie Lawler;Submission;October 22, 2004;3
Ivan Salaverry;def.;Tony Fryklund;Submission;October 22, 2004;2
Travis Lutter;def.;Marvin Eastman;KO;October 22, 2004;1
Randy Couture;def.;Vitor Belfort;TKO;August 21, 2004;8
Joe Riggs;def.;Joe Doerksen;Submission;August 21, 2004;7
Chuck Liddell;def.;Vernon White;KO;August 21, 2004;6
David Terrell;def.;Matt Lindland;KO;August 21, 2004;5
Justin Eilers;def.;Mike Kyle;KO;August 21, 2004;4
Chris Lytle;def.;Ronald Jhun;Submission;August 21, 2004;3
Karo Parisyan;def.;Nick Diaz;Decision;August 21, 2004;2
Yves Edwards;def.;Josh Thomson;KO;August 21, 2004;1
Ken Shamrock;def.;Kimo Leopoldo;KO;June 19, 2004;8
Frank Trigg;def.;Dennis Hallman;TKO;June 19, 2004;7
Frank Mir;def.;Tim Sylvia;Technical Submission;June 19, 2004;6
Matt Hughes;def.;Renato Verissimo;Decision;June 19, 2004;5
Evan Tanner;def.;Phil Baroni;Decision;June 19, 2004;4
Matt Serra;def.;Ivan Menjivar;Decision;June 19, 2004;3
Trevor Prangley;def.;Curtis Stout;Submission;June 19, 2004;2
Georges St-Pierre;def.;Jay Hieron;TKO;June 19, 2004;1
Chuck Liddell;def.;Tito Ortiz;KO;April 2, 2004;8
